length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
37,3,1,1,1
3,5,0,1,0
9,3,1,0,1
7,2,1,0,1
18,4,0,1,1
35,5,0,0,1
18,3,1,1,0
44,2,1,1,2
25,1,1,1,2
10,1,0,1,1
47,4,1,1,1
11,1,0,1,1
45,1,1,2,2
39,1,0,2,2
39,2,1,1,1
39,5,1,0,0
49,3,0,1,1
45,3,0,1,0
42,3,1,1,1
8,5,0,1,0
32,4,0,1,1
27,4,0,1,1
22,1,0,1,1
40,1,1,2,2
30,3,1,1,1
2,2,0,0,1
30,2,0,1,1
40,1,1,2,2
22,5,0,1,1
37,1,0,2,2
43,5,0,0,1
32,5,0,1,1
41,3,1,1,1
17,1,0,1,1
30,4,1,0,0
7,2,0,1,0
8,5,0,1,0
12,3,0,0,1
3,1,0,0,1
48,2,1,2,1
16,1,0,1,1
40,3,1,1,1
34,4,1,0,0
31,4,1,0,0
50,3,1,1,1
1,5,0,1,0
5,3,0,0,1
15,4,0,1,0
26,5,0,1,1
30,3,1,1,0
22,5,0,1,1
42,3,0,1,0
48,3,0,2,1
46,5,1,0,0
34,1,1,2,1
34,4,0,0,1
36,4,0,0,1
26,4,0,1,1
38,2,1,1,1
22,2,0,1,1
14,3,1,0,0
22,1,1,1,1
24,4,0,1,1
16,3,0,1,1
33,2,1,1,1
39,2,1,1,1
38,2,1,1,1
4,5,0,1,0
22,5,0,1,1
1,1,0,0,1
31,5,0,1,1
2,2,0,0,1
30,1,1,2,1
36,3,1,1,0
18,2,0,1,1
35,2,1,1,1
14,4,0,0,1
7,3,1,0,1
18,3,0,1,1
36,5,1,1,0
44,5,1,1,1
28,4,0,1,1
42,4,1,1,1
8,4,0,1,0
31,4,1,1,1
32,3,1,1,1
3,2,1,0,1
6,5,0,0,1
29,5,1,0,1
23,2,1,1,1
39,4,1,1,1
48,3,0,1,1
23,4,0,1,1
37,3,1,1,1
23,3,0,1,1
39,5,1,1,1
8,5,0,1,0
15,5,0,1,1
21,2,0,0,1
43,4,1,1,1
15,4,0,1,0
40,5,1,1,0
49,5,1,1,1
24,2,0,1,1
5,5,0,1,0
45,4,1,1,0
50,1,1,3,2
28,2,0,1,1
18,1,1,1,1
45,2,1,1,2
6,2,0,1,0
18,4,1,0,1
10,3,0,1,1
17,1,1,1,1
13,5,0,1,0
22,5,1,1,0
16,4,0,1,1
29,2,1,1,1
11,2,0,1,0
24,3,1,1,0
19,4,0,1,0
24,4,1,1,1
7,1,1,1,1
46,1,2,3,4
5,1,0,1,1
35,5,1,1,1
17,3,0,1,1
31,5,0,0,1
47,4,1,2,1
44,2,1,1,2
16,1,0,1,1
18,3,0,1,1
3,1,0,1,0
14,4,1,1,0
36,4,1,1,0
3,3,0,1,0
40,1,0,2,2
46,1,1,2,2
2,2,0,0,1
50,4,1,1,1
43,4,1,1,1
37,3,1,1,1
40,4,0,1,1
29,5,0,1,0
15,2,0,1,0
23,5,0,1,0
44,5,1,1,1
47,4,1,1,0
32,5,1,0,0
1,2,0,1,0
31,2,0,1,1
3,4,0,0,1
27,1,1,3,2
41,2,0,1,1
24,5,0,0,1
4,2,0,0,1
29,5,1,0,0
10,4,0,0,1
43,4,1,1,1
14,4,0,1,0
6,5,0,1,0
34,2,0,1,1
29,4,1,1,0
6,5,0,0,1
26,4,0,1,1
20,4,0,1,1
50,5,1,1,1
23,5,1,0,1
36,2,1,1,1
43,4,1,1,1
33,2,1,1,2
17,3,1,0,1
28,5,1,0,1
41,4,0,1,0
25,5,0,0,1
41,1,1,2,36
3,4,0,1,1
17,3,0,1,1
3,1,0,0,1
4,5,0,0,1
41,4,1,1,1
50,5,1,1,1
45,1,1,2,2
45,5,1,1,1
40,5,1,1,1
1,4,0,0,0
9,2,0,1,0
22,2,0,1,1
26,3,1,1,1
11,2,0,1,0
1,2,0,0,1
8,3,1,0,1
29,3,0,0,1
30,4,0,1,1
15,2,0,1,1
33,2,1,1,1
34,1,1,2,1
47,3,1,1,1
24,1,0,2,1
41,4,0,1,1
6,3,0,1,0
27,3,0,1,1
9,5,0,1,0
18,5,0,0,1
50,5,1,1,0
2,2,0,0,0
48,1,1,2,2
17,5,0,1,1
21,3,0,1,1
38,5,0,0,1
13,2,1,0,1
18,1,0,1,1
45,5,1,1,1
46,3,0,1,1
28,4,1,1,0
42,1,1,2,2
36,1,0,2,2
13,2,0,1,0
5,2,0,1,0
18,5,0,1,1
28,5,1,0,1
17,4,1,0,0
49,3,1,1,1
15,4,0,1,0
25,3,0,1,1
13,2,0,1,0
40,1,0,2,2
20,5,0,1,1
18,5,0,1,1
12,5,0,1,0
32,1,1,2,1
20,1,1,1,2
33,1,1,1,1
19,1,1,1,1
11,1,0,1,1
9,5,0,1,0
2,4,0,0,1
41,1,1,2,2
10,1,0,1,1
15,4,0,1,0
11,4,0,0,1
35,2,1,1,1
4,3,0,0,1
42,4,1,1,1
20,3,1,0,0
43,1,1,2,2
34,5,1,1,0
33,2,1,1,1
46,5,0,1,1
27,5,1,1,0
3,4,1,0,1
13,1,0,1,0
22,1,1,1,2
1,5,0,0,0
37,3,0,1,1
44,2,1,1,2
15,3,0,1,1
35,4,1,1,1
36,3,1,1,1
37,5,1,1,0
24,2,0,1,1
46,4,1,1,1
25,2,1,1,1
3,5,0,1,1
18,4,0,1,1
35,2,1,1,2
12,3,0,1,98
24,5,1,1,1
37,3,1,1,1
3,5,0,0,1
1,5,0,0,1
21,3,0,1,1
33,2,1,1,1
18,4,0,1,1
10,3,0,0,0
48,3,1,1,2
34,4,1,1,1
15,2,1,0,0
35,4,0,1,1
19,3,1,0,1
35,3,0,1,11
11,1,0,2,1
41,3,7,1,1
17,3,1,11,1
42,3,0,1,1
41,1,0,2,2
29,2,1,1,1
40,5,1,1,1
23,4,0,1,1
30,4,0,1,1
12,1,1,1,1
38,2,1,1,1
39,3,0,1,1
9,5,0,1,0
5,5,1,1,1
47,3,0,1,0
49,4,1,1,1
21,4,0,0,1
43,1,1,2,2
25,1,0,2,1
14,1,1,1,1
10,5,0,1,0
48,1,0,3,2
50,3,1,1,1
33,5,1,1,0
48,1,0,3,2
22,5,1,1,0
44,5,1,1,0
17,4,1,1,1
23,4,1,1,1
44,5,0,0,1
4,1,0,0,1
19,1,0,1,2
17,5,0,1,0
41,4,1,1,1
24,4,1,13,0
47,4,1,1,1
31,1,1,1,2
25,2,1,0,0
28,5,0,1,0
20,3,1,0,2
24,5,0,1,1
36,4,1,1,1
45,5,1,1,1
26,4,0,1,1
44,2,1,2,1
18,3,0,1,0
46,2,1,2,2
36,1,0,2,2
7,1,1,0,0
2,5,0,1,0
48,1,1,2,2
31,1,1,2,1
9,4,0,1,0
24,1,1,10,2
34,1,1,2,1
40,1,0,2,2
19,4,1,1,0
33,4,0,1,1
24,3,1,1,0
21,5,0,1,0
38,2,0,1,1
9,3,0,0,1
42,2,1,1,1
32,1,0,2,1
27,3,1,1,0
37,2,0,1,1
20,1,0,1,1
10,5,0,0,1
6,5,0,1,1
47,5,1,1,1
3,3,0,0,1
11,2,0,1,0
32,2,1,1,1
16,1,0,1,1
48,4,0,1,1
33,5,0,1,1
12,4,0,1,0
29,3,0,1,1
28,2,0,1,1
19,1,1,1,8
1,5,0,0,1
22,2,1,1,1
19,5,0,1,1
41,1,1,2,2
28,4,0,1,1
17,3,0,1,1
42,1,1,2,2
1,2,0,0,0
39,2,0,1,1
24,2,0,1,1
26,4,0,1,1
4,1,0,1,1
7,2,0,1,2
38,3,1,1,1
45,1,1,2,1
9,2,1,0,0
17,3,0,1,1
39,1,1,2,2
5,4,0,0,1
18,5,1,0,0
48,5,1,1,1
32,3,1,1,1
5,5,0,0,1
3,5,1,0,1
17,2,1,1,0
27,1,0,2,1
13,3,0,1,1
21,5,1,0,0
3,2,0,0,1
9,4,1,0,1
34,3,1,1,1
23,2,1,1,1
38,5,0,1,1
38,5,0,0,1
45,4,1,1,0
30,2,0,1,0
13,4,1,0,1
28,2,1,1,1
5,1,0,1,1
9,1,0,1,1
35,1,1,2,1
39,4,7,1,1
4,4,0,1,0
7,2,1,1,1
43,4,0,1,0
37,4,0,1,1
9,1,0,1,1
26,1,1,1,2
3,4,0,1,0
1,5,0,0,1
35,5,1,0,1
5,4,0,0,0
8,1,1,0,1
38,4,1,1,1
22,3,1,0,0
27,5,1,0,0
44,1,0,1,1
37,4,1,0,0
37,1,0,2,2
6,5,0,0,1
24,1,0,1,1
37,3,1,1,0
44,5,1,0,0
8,2,0,0,1
45,5,1,0,8
10,1,0,1,1
42,5,1,0,1
18,3,0,1,0
39,3,1,1,0
14,4,1,1,1
43,1,1,2,2
26,3,0,5,6
29,3,0,1,1
39,5,0,0,1
13,4,1,0,1
44,1,1,2,2
16,4,0,1,0
36,5,0,1,1
8,4,0,0,1
33,5,0,0,1
14,5,0,1,0
40,2,0,2,1
22,1,0,1,2
9,4,0,0,1
49,2,1,1,2
11,3,0,0,1
40,2,0,1,1
18,4,0,1,1
20,2,1,1,1
3,1,0,1,0
7,2,0,1,0
41,2,0,2,1
41,4,1,1,1
1,2,0,0,1
38,4,1,0,1
44,5,0,0,1
27,2,0,1,1
23,1,0,1,1
29,5,1,1,0
30,4,1,0,0
6,4,0,0,1
21,2,0,1,1
13,5,0,1,1
15,4,0,1,1
50,4,1,1,1
27,2,1,1,0
3,4,0,0,1
14,5,1,0,1
11,2,1,0,1
41,2,0,8,2
33,3,1,1,1
23,3,1,7,1
25,2,0,1,1
49,4,1,1,1
37,3,1,1,1
50,5,1,0,0
48,5,1,1,1
14,1,0,1,1
8,5,0,0,1
11,5,0,0,1
31,4,0,0,1
12,3,0,1,0
4,5,0,0,1
12,2,0,1,1
42,2,1,1,1
43,5,1,0,1
31,5,0,1,1
15,2,0,1,0
34,2,0,1,1
33,1,0,2,2
26,3,0,1,1
25,5,0,1,1
23,4,0,0,1
33,3,1,1,1
16,3,0,1,0
47,2,1,1,1
27,4,0,0,1
13,4,0,1,1
1,4,0,1,0
49,2,1,1,1
36,5,0,1,1
29,2,0,1,1
43,1,0,1,1
15,1,1,1,1
4,1,0,0,0
15,4,0,1,0
49,3,1,1,1
8,3,0,0,1
32,5,1,1,0
42,3,0,1,1
13,2,1,1,0
10,5,0,1,0
12,2,0,0,1
24,3,0,1,1
43,5,0,0,1
30,4,1,1,0
2,2,0,1,1
25,1,1,1,2
38,3,1,1,1
25,2,0,1,1
26,1,0,1,1
28,4,1,1,0
50,5,0,2,0
37,1,1,2,1
36,5,1,1,1
40,4,0,1,1
19,4,0,0,0
2,2,0,0,1
42,4,0,1,1
12,5,1,0,1
41,1,1,2,2
1,1,0,0,1
42,5,1,1,1
22,4,0,1,1
18,5,0,1,1
43,1,1,2,2
17,1,1,1,1
32,1,1,1,1
13,2,0,1,1
27,5,0,1,1
38,3,1,1,1
14,4,1,0,1
26,2,0,1,1
1,4,0,1,0
21,3,1,0,0
21,3,0,1,1
20,5,0,1,0
17,4,0,1,1
35,1,1,2,1
44,1,1,2,2
21,3,0,2,0
14,3,0,1,1
29,4,0,1,1
16,2,0,1,1
25,2,1,1,1
22,4,1,0,0
41,1,1,2,2
20,5,0,1,1
6,5,0,0,1
21,4,1,0,0
39,4,0,0,1
29,2,0,1,0
13,3,0,1,0
31,4,0,1,1
44,3,1,1,1
31,5,1,1,0
30,5,0,1,1
6,1,0,1,1
42,4,1,1,1
34,5,0,1,1
20,3,0,1,0
8,2,1,0,1
13,3,0,1,0
10,3,0,1,0
8,3,0,0,1
31,1,1,1,1
1,2,1,0,1
21,2,1,0,0
24,1,1,1,1
13,5,0,0,1
22,1,1,1,1
45,3,0,1,1
42,2,1,1,1
29,5,0,1,1
31,1,0,2,1
50,3,1,1,1
15,5,0,0,0
42,5,0,1,1
44,2,1,1,1
17,2,0,1,1
7,5,0,1,0
1,2,0,0,0
36,2,1,1,1
42,2,1,1,1
15,4,0,1,0
50,1,1,2,2
40,1,0,2,2
17,4,0,1,0
15,5,0,0,1
6,5,1,0,1
13,1,1,1,0
29,5,0,1,0
10,3,0,1,0
30,4,0,1,1
33,2,0,1,0
46,3,1,1,1
28,5,1,0,0
12,2,15,1,1
49,2,1,2,1
21,1,0,1,1
33,5,0,1,1
27,4,1,0,0
36,5,0,2,0
11,2,0,1,0
38,3,1,1,1
12,3,0,1,1
11,4,0,0,0
46,3,1,1,1
43,2,1,1,2
3,5,0,0,1
1,2,0,0,1
25,3,1,1,1
35,4,1,1,1
19,4,0,1,0
14,5,1,0,1
35,1,1,1,1
26,3,1,1,0
27,5,1,0,1
39,2,1,1,1
34,1,1,2,1
9,2,0,0,1
35,5,1,0,1
19,4,1,1,0
11,1,0,1,1
7,1,0,1,0
38,3,1,1,1
4,2,0,1,1
32,3,1,1,1
38,3,0,1,1
25,4,0,1,1
22,1,1,1,1
27,4,1,1,0
40,2,0,1,1
3,4,0,1,0
16,1,0,1,1
23,4,1,0,1
17,5,12,1,1
9,5,0,0,1
11,5,0,1,1
36,2,1,1,1
32,2,1,1,1
6,5,0,1,0
4,5,0,1,0
17,1,0,1,1
48,3,0,2,1
13,2,0,1,0
40,1,1,2,1
20,3,1,0,0
29,3,0,1,1
1,2,0,0,1
3,2,0,0,0
43,4,0,1,1
41,5,1,0,0
30,4,1,1,0
31,3,1,1,0
6,2,0,1,1
19,5,0,1,0
41,2,0,1,1
11,1,0,0,1
4,4,0,1,1
15,3,1,0,0
26,1,0,2,1
35,2,1,1,1
1,3,0,1,0
19,2,0,1,0
11,4,0,0,1
38,3,0,1,1
38,3,1,1,1
29,4,0,1,1
9,3,0,1,0
5,1,0,1,1
50,2,1,1,2
12,1,0,1,1
49,2,1,1,1
48,5,1,1,0
11,5,0,0,1
40,1,1,2,1
16,5,0,1,0
1,1,0,1,0
39,3,0,1,1
25,4,1,1,0
42,4,1,0,0
21,4,1,0,0
18,1,0,1,1
38,5,0,0,1
17,1,0,1,1
29,5,0,1,1
50,4,1,1,1
16,4,0,1,1
50,5,0,1,0
39,2,1,1,1
21,1,0,1,1
20,4,1,0,0
34,2,0,1,1
27,3,1,1,1
33,4,1,1,1
36,3,1,1,1
21,4,1,0,0
28,2,0,1,1
8,3,0,0,1
11,4,0,0,1
28,1,1,1,1
28,2,0,1,1
16,3,0,1,0
40,1,1,2,1
20,1,0,1,1
13,1,1,1,0
21,3,0,1,0
48,2,1,2,1
49,5,1,1,1
6,4,0,0,1
47,3,0,1,1
46,2,1,1,2
31,3,1,1,0
14,3,1,0,1
37,2,1,1,1
10,1,0,1,1
32,1,1,1,1
17,1,1,1,1
42,1,0,1,1
24,4,0,0,1
23,2,1,0,0
42,4,1,1,0
27,4,1,1,0
15,2,0,1,0
43,1,1,2,2
2,1,0,1,0
43,2,0,1,1
36,2,1,1,1
26,1,0,1,1
22,2,1,1,1
18,3,0,0,1
35,4,1,0,0
26,5,1,1,0
42,3,0,0,1
24,1,1,1,1
11,1,1,1,0
44,5,0,1,1
9,4,0,0,0
24,3,0,0,1
38,3,1,1,1
13,1,0,1,1
36,4,0,1,1
25,4,1,0,0
16,1,0,1,1
22,2,0,1,1
49,4,0,1,0
33,3,0,1,1
16,3,0,1,0
12,5,0,1,0
18,5,0,1,1
3,4,0,1,0
17,3,0,1,1
50,3,1,1,1
2,2,0,0,0
20,5,0,1,0
40,1,1,2,2
8,3,0,0,1
32,2,0,1,0
36,2,0,1,1
2,2,0,0,0
35,3,1,1,0
4,2,0,1,0
11,5,0,0,0
48,3,0,1,1
48,1,1,2,2
15,1,0,1,1
15,4,0,1,0
4,5,0,0,0
48,3,1,1,1
6,3,0,1,0
37,3,1,1,1
13,1,0,1,1
7,1,0,1,1
26,3,0,1,1
38,4,1,1,0
50,5,1,1,1
17,3,0,1,0
41,1,0,2,2
13,2,0,1,0
35,5,0,1,1
41,4,1,1,1
13,1,1,0,0
14,5,0,1,0
31,2,1,1,1
45,2,1,1,1
9,5,0,0,1
41,5,0,1,1
37,4,1,1,1
35,5,1,0,0
4,5,0,0,0
33,2,1,1,1
31,2,0,0,0
24,2,1,1,1
44,3,1,1,1
26,4,0,1,1
3,3,0,1,0
42,1,0,1,2
19,5,0,1,1
28,1,0,2,1
32,3,1,1,0
14,5,1,0,1
15,4,1,0,1
30,4,0,1,1
19,3,0,1,0
17,5,0,1,1
2,5,0,1,0
46,3,0,1,1
25,5,0,1,0
50,3,1,1,1
31,3,1,1,0
23,2,0,1,1
6,2,0,1,0
44,2,0,1,1
37,3,1,1,0
14,2,0,0,1
30,2,0,0,0
29,4,0,1,0
41,4,1,0,0
41,5,0,0,1
47,1,1,2,2
9,1,0,1,1
33,3,0,0,1
20,3,0,1,1
24,5,0,1,1
10,1,0,0,1
12,5,0,0,0
21,4,0,1,0
3,3,0,0,1
24,4,0,1,1
18,4,0,0,0
15,3,0,1,0
19,1,0,1,1
36,1,0,2,2
24,3,0,1,1
20,4,0,1,0
46,1,1,2,2
23,5,0,1,1
35,4,1,0,1
10,3,0,1,0
50,5,0,0,1
33,4,1,1,0
15,4,1,0,1
21,1,0,1,1
45,4,1,0,0
6,1,0,1,0
9,1,0,1,1
45,2,0,1,1
6,1,0,0,1
34,3,1,1,0
1,1,0,1,0
1,3,0,0,0
26,2,1,1,0
3,5,0,1,0
18,1,0,1,1
11,5,0,1,0
39,1,0,2,2
25,1,1,1,1
6,2,0,1,0
22,2,0,1,1
12,5,0,0,0
28,4,0,0,1
22,1,0,1,1
34,1,0,2,2
17,5,1,0,0
8,5,0,0,1
3,5,0,1,0
19,2,0,1,1
44,2,1,1,2
4,2,0,1,0
6,1,0,1,0
23,4,1,0,1
8,3,0,0,1
50,4,1,1,1
24,2,1,1,0
44,4,1,1,0
37,4,0,1,1
3,4,0,0,1
17,5,1,0,1
32,4,1,0,1
46,1,0,2,1
28,2,0,1,1
12,4,0,1,0
49,4,1,1,0
50,1,1,2,2
38,5,0,1,1
40,1,1,2,1
46,4,1,0,0
48,5,1,1,0
18,3,1,0,1
41,2,1,1,1
17,5,0,1,1
26,1,0,1,2
45,1,1,2,2
18,2,0,1,1
31,4,0,1,1
34,3,1,1,0
44,2,1,1,1
17,1,0,1,1
9,2,0,1,0
34,2,0,1,1
42,5,0,0,1
8,5,0,0,1
2,5,0,1,0
18,5,0,1,1
41,5,0,0,1
28,1,1,1,1
11,2,0,1,1
35,3,0,0,1
49,3,0,1,1
22,3,0,1,0
3,5,0,1,0
35,3,1,1,0
21,1,1,1,1
17,1,0,1,1
19,2,0,1,1
47,1,1,2,2
43,3,0,1,1
18,2,0,1,1
28,4,0,1,1
26,5,0,1,1
23,4,0,1,0
20,5,1,0,1
29,4,1,0,1
36,1,1,2,1
37,4,0,1,1
36,1,1,1,1
1,2,0,0,0
44,5,1,0,1
7,4,0,0,1
7,4,1,0,1
33,3,0,1,1
47,4,0,1,1
27,1,1,1,1
44,5,1,1,0
30,3,1,1,1
16,2,0,1,0
6,4,0,0,0
35,3,1,0,0
9,2,0,1,0
21,4,0,1,1
22,1,0,1,1
3,3,0,0,1
28,4,0,1,1
12,1,0,1,1
28,1,0,1,2
6,3,1,0,1
3,4,0,1,0
47,5,0,1,1
31,5,1,0,1
36,3,1,1,1
41,2,1,1,1
5,1,0,1,0
48,5,1,0,1
35,3,0,1,1
35,2,1,1,1
8,4,1,0,1
11,3,0,1,1
4,4,0,1,0
36,4,1,1,1
48,2,1,1,1
42,2,1,1,1
40,3,0,1,1
22,5,1,0,1
39,3,1,1,1
10,4,1,0,1
17,5,1,0,1
23,2,0,1,1
34,2,1,1,1
23,2,0,1,1
49,2,1,1,1
34,2,0,1,1
13,2,0,1,0
6,2,0,1,0
34,3,1,1,1
2,5,0,1,0
1,2,0,0,1
12,3,0,0,1
29,2,0,1,1
28,1,1,1,2
32,3,1,0,0
27,1,0,1,1
46,4,1,1,1
1,5,0,0,1
6,1,0,1,1
38,4,0,1,1
6,1,0,0,1
5,4,1,0,1
25,3,0,1,1
19,3,0,0,1
46,5,1,1,1
19,3,0,1,0
15,4,0,1,1
26,1,0,2,1
37,3,1,1,1
35,3,1,0,0
44,2,0,1,1
47,1,1,2,2
40,3,0,1,1
43,1,0,2,2
34,1,1,1,1
20,3,0,1,1
21,1,0,1,1
9,3,0,1,0
50,2,0,1,1
20,4,0,0,1
13,1,1,1,0
17,1,0,1,0
40,1,0,2,2
7,5,0,0,1
33,2,1,1,1
6,4,0,0,0
35,5,0,1,1
26,4,0,1,1
45,1,1,2,2
12,3,0,1,0
17,3,0,1,0
8,3,0,1,0
37,2,1,1,1
48,2,0,1,1
48,2,1,1,1
6,2,0,1,0
5,5,0,1,0
19,2,0,1,1
25,2,0,1,1
44,2,1,1,1
13,4,0,1,1
37,1,0,2,2
17,5,0,1,0
32,4,1,1,0
3,5,0,1,0
34,5,1,0,0
37,5,0,1,1
15,5,1,0,1
45,4,1,1,1
20,1,0,1,1
46,3,0,2,1
42,5,1,0,0
44,4,0,1,1
29,1,0,1,1
44,5,1,0,1
27,1,1,1,1
21,1,1,1,1
14,5,0,1,0
7,1,0,1,0
9,2,0,0,1
8,2,1,0,1
38,2,1,1,1
1,1,0,0,0
48,2,1,1,1
42,5,0,1,1
49,5,0,1,1
48,3,0,0,0
40,1,0,1,2
31,4,1,1,1
28,3,0,1,1
50,4,0,1,1
8,1,0,1,0
49,1,1,2,2
44,2,0,2,1
30,5,0,0,1
12,1,1,1,0
28,3,1,1,0
28,2,0,1,1
40,4,1,1,1
17,4,1,0,1
31,1,1,1,2
9,5,0,1,0
22,2,1,0,0
35,3,1,1,1
48,1,1,2,2
15,1,0,0,0
20,4,0,1,1
44,3,1,1,1
22,3,0,1,1
22,4,1,0,0
39,5,1,1,0
7,4,0,1,0
25,4,1,1,0
20,4,0,0,1
38,5,1,0,0
3,5,0,0,1
40,5,1,0,0
31,5,1,1,0
5,5,0,1,0
34,5,1,0,0
38,2,1,1,1
24,5,1,1,0
6,5,0,1,0
38,5,1,1,0
9,1,0,1,1
16,3,0,0,1
11,1,1,0,0
22,5,0,0,1
35,4,1,0,0
44,3,0,1,1
7,3,0,1,0
13,3,0,0,0
44,1,1,2,2
45,4,1,1,1
3,5,0,0,1
33,4,0,1,1
38,1,1,2,1
15,3,0,0,1
30,2,0,1,1
47,1,0,2,2
28,4,0,1,1
50,2,1,2,1
21,4,0,1,0
28,2,1,1,1
49,2,1,2,1
4,5,0,0,1
40,3,0,1,1
7,2,0,1,0
13,4,0,1,0
24,3,0,0,1
28,1,1,1,1
2,5,0,0,0
41,5,1,1,0
12,5,0,1,0
20,3,0,0,1
21,3,0,1,0
50,3,1,1,1
10,4,0,0,1
14,3,1,0,1
32,3,0,0,1
1,2,0,0,0
42,1,0,2,2
4,2,0,0,1
40,4,1,1,0
40,2,0,2,1
33,3,0,1,1
45,5,1,1,1
43,2,1,1,1
37,3,0,1,1
45,2,1,1,1
17,3,1,0,1
22,5,0,1,0
12,2,0,1,1
13,4,0,1,1
5,4,0,1,0
13,4,0,0,1
27,5,0,1,1
20,1,1,1,1
39,1,1,2,1
16,4,1,0,1
23,5,0,1,1
6,1,0,1,1
9,4,0,1,0
10,3,0,1,0
35,5,1,1,0
9,1,0,1,1
44,2,1,1,1
35,3,0,1,1
13,2,0,1,0
3,5,0,0,1
13,1,0,0,1
16,2,0,1,1
43,2,1,1,1
22,2,0,1,1
40,2,1,1,1
38,1,0,2,2
32,4,1,0,1
10,5,0,1,0
40,3,1,1,1
49,4,0,1,1
9,2,0,0,0
4,1,0,0,1
16,2,0,0,1
30,5,1,0,1
41,2,1,1,1
39,2,1,1,1
21,3,0,1,1
28,4,0,0,1
7,5,0,0,1
4,3,0,1,0
23,3,1,0,1
9,3,0,0,1
27,4,0,1,1
50,3,1,1,1
2,1,0,0,0
27,5,0,1,1
24,2,0,1,1
15,2,1,0,1
49,3,0,1,0
27,3,0,1,1
30,1,0,2,1
41,5,0,1,1
29,5,0,1,1
14,5,1,0,1
48,4,1,1,1
35,5,1,1,0
39,2,0,1,1
36,1,0,1,2
39,4,1,1,1
6,2,0,1,0
18,5,0,1,1
5,1,0,1,0
31,4,1,1,0
49,2,1,1,1
40,4,0,1,1
34,2,1,1,1
21,1,0,1,1
16,1,0,1,0
46,3,0,0,0
23,3,1,0,0
48,1,1,2,2
7,5,1,0,1
15,2,1,0,1
4,1,0,0,1
28,2,0,1,1
50,4,0,0,1
12,5,0,1,0
48,1,1,2,2
14,3,1,0,1
12,4,0,0,1
34,5,0,1,1
43,1,1,2,2
43,5,1,1,1
31,4,0,1,1
5,1,1,0,1
18,5,0,1,0
18,1,0,1,1
14,5,0,1,1
9,5,0,1,0
4,5,0,0,1
9,4,0,1,0
24,5,1,0,1
6,4,0,0,1
44,1,1,2,2
24,3,0,1,1
10,4,0,0,1
1,4,0,1,0
30,3,1,0,0
48,2,1,1,1
41,1,0,1,2
18,4,0,1,0
16,1,0,1,1
11,1,0,1,1
34,2,0,1,1
36,1,0,2,1
21,5,1,0,0
20,4,0,1,0
2,1,0,0,1
26,1,0,2,1
28,4,0,1,1
31,2,1,1,0
2,5,0,1,0
34,5,1,1,0
21,5,0,0,1
27,2,0,1,1
11,3,0,0,1
37,2,1,1,1
19,1,0,1,1
38,4,0,1,1
21,4,0,1,0
18,4,0,1,1
1,4,0,0,0
1,3,0,1,0
22,5,0,1,1
2,1,0,0,0
11,5,1,0,1
5,4,0,1,0
13,4,0,1,0
39,1,1,2,2
49,1,1,2,2
46,1,1,2,2
10,3,0,0,1
15,3,0,0,1
3,1,0,1,0
12,5,0,0,0
40,4,1,1,1
12,5,1,0,1
2,1,0,1,0
22,1,0,1,1
3,5,0,1,0
47,1,1,2,2
17,1,0,1,1
41,1,0,2,2
4,2,1,0,1
21,1,1,1,1
25,2,0,1,1
48,5,0,0,1
37,4,1,1,1
29,2,0,0,1
25,5,1,0,0
39,1,1,2,2
49,1,1,2,2
15,3,0,1,1
25,2,0,1,1
3,5,0,1,0
26,4,1,0,1
8,2,0,0,1
42,1,1,2,2
10,2,0,1,1
47,4,1,1,1
22,3,0,1,0
47,5,0,0,1
17,3,0,1,1
23,5,0,1,0
23,3,1,0,1
48,4,1,1,0
7,4,0,1,0
26,3,1,0,1
37,5,1,1,1
22,5,0,1,1
7,4,0,1,0
19,5,0,1,0
42,3,0,1,0
8,2,0,1,0
33,3,1,1,1
46,5,1,1,1
1,5,0,1,0
33,2,1,1,1
21,3,1,1,0
19,2,0,1,1
2,4,0,1,0
22,3,0,1,1
28,1,0,2,1
10,3,0,1,0
28,4,0,0,1
21,4,0,1,1
16,3,0,0,1
32,4,0,1,1
28,3,0,1,1
4,2,0,0,1
30,5,0,1,1
3,1,0,1,0
14,5,0,0,0
7,5,1,0,1
19,3,1,0,1
8,1,1,0,1
19,3,0,1,0
15,4,0,1,1
6,2,0,1,0
17,3,0,1,0
49,2,0,1,1
31,3,1,1,1
45,2,1,1,1
14,4,0,1,1
41,4,1,0,1
5,2,0,0,1
38,1,1,1,2
28,1,1,1,1
5,5,0,1,0
39,5,1,1,1
40,2,1,1,1
1,3,0,1,0
6,3,0,0,1
4,5,0,1,0
29,5,1,0,0
46,1,0,1,1
4,4,0,1,0
25,5,0,1,1
44,5,1,1,0
43,2,1,1,1
5,5,0,0,1
45,3,1,1,1
20,5,0,1,0
39,5,0,1,1
17,2,1,1,0
3,1,0,0,1
30,1,0,2,1
21,1,0,1,1
18,5,1,0,1
38,3,1,0,0
28,5,1,1,0
9,2,1,0,1
47,3,0,1,0
32,3,0,1,1
30,4,1,0,1
17,3,0,1,1
17,3,1,0,1
5,3,0,0,0
25,3,1,1,0
17,1,0,1,1
37,4,0,1,1
45,5,0,1,1
36,5,1,1,1
49,3,1,1,1
23,5,1,0,0
32,2,1,1,1
49,5,0,0,1
42,2,0,2,1
23,3,0,1,1
